=== Basic System Information ===
User        : sveda
Hostname    : AcerNitroV
IP Address  : 192.168.1.234
OS          : Windows 11
Directory   : c:\Users\sveda\Desktop\SecurityAutomationTools\security-automation-tools

=== Running Processes ===

Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        164 K
Secure System                  236 Services                   0     68,236 K
Registry                       280 Services                   0     52,780 K
smss.exe                       788 Services                   0        668 K
csrss.exe                     1200 Services                   0      3,728 K
wininit.exe                   1400 Services                   0      2,900 K
csrss.exe                     1420 Console                    1      4,284 K
winlogon.exe                  1496 Console                    1      8,504 K
services.exe                  1516 Services                   0     11,536 K
LsaIso.exe                    1548 Services                   0      2,476 K
lsass.exe                     1568 Services                   0     22,916 K
svchost.exe                   1704 Services                   0     34,752 K
fontdrvhost.exe               1724 Services                   0      1,456 K
fontdrvhost.exe               1732 Console                    1      3,980 K
svchost.exe                   1832 Services                   0     16,576 K
svchost.exe                   1884 Services                   0      7,216 K
dwm.exe                       1988 Console                    1    121,628 K
amdpmfservice.exe             1632 Services                   0      3,336 K
svchost.exe                   1608 Services                   0     10,280 K
svchost.exe                   1468 Services                   0      2,688 K
svchost.exe                   1852 Services                   0     15,140 K
svchost.exe                   2164 Services                   0      2,472 K
svchost.exe                   2180 Services                   0      4,480 K
svchost.exe                   2172 Services                   0      9,580 K
svchost.exe                   2188 Services                   0      9,168 K
svchost.exe                   2192 Services                   0     12,384 K
svchost.exe                   2456 Services                   0      7,880 K
svchost.exe                   2464 Services                   0      7,724 K
svchost.exe                   2480 Services                   0      7,600 K
svchost.exe                   2516 Services                   0      3,748 K
svchost.exe                   2604 Services                   0      6,516 K
svchost.exe                   2704 Services                   0      7,896 K
svchost.exe                   2716 Services                   0      5,296 K
svchost.exe                   2736 Services                   0      2,912 K
svchost.exe                   2784 Services                   0      7,444 K
svchost.exe                   2852 Services                   0     16,920 K
svchost.exe                   2936 Services                   0     12,132 K
svchost.exe                   3064 Services                   0      6,040 K
svchost.exe                   2588 Services                   0     12,600 K
svchost.exe                   3160 Services                   0      4,164 K
svchost.exe                   3268 Services                   0     10,076 K
svchost.exe                   3412 Services                   0      5,660 K
NVDisplay.Container.exe       4004 Services                   0     25,620 K
svchost.exe                   4020 Services                   0      5,044 K
amdfendrsr.exe                4080 Services                   0      3,884 K
atiesrxx.exe                  4092 Services                   0      3,768 K
svchost.exe                   3156 Services                   0     18,436 K
NVDisplay.Container.exe       4224 Console                    1     39,820 K
svchost.exe                   4232 Services                   0     19,280 K
svchost.exe                   4320 Services                   0      6,244 K
svchost.exe                   4532 Services                   0      3,032 K
svchost.exe                   4540 Services                   0      7,252 K
svchost.exe                   4548 Services                   0     18,376 K
atieclxx.exe                  4556 Console                    1     10,936 K
svchost.exe                   4636 Services                   0      5,300 K
svchost.exe                   4644 Services                   0      9,908 K
Memory Compression            4660 Services                   0  1,023,908 K
svchost.exe                   4804 Services                   0     14,124 K
svchost.exe                   4844 Services                   0      4,492 K
svchost.exe                   5000 Services                   0     20,760 K
svchost.exe                   5168 Services                   0      4,756 K
amdpmfserviceuser.exe         5176 Console                    1      2,296 K
conhost.exe                   5196 Console                    1      2,472 K
svchost.exe                   5384 Services                   0     18,756 K
svchost.exe                   5420 Services                   0      7,288 K
spoolsv.exe                   5516 Services                   0      8,296 K
svchost.exe                   5524 Services                   0     20,604 K
svchost.exe                   5588 Services                   0     18,412 K
wlanext.exe                   5740 Services                   0      3,332 K
WmiPrvSE.exe                  5792 Services                   0      9,976 K
svchost.exe                   5996 Services                   0      4,936 K
AcerCentralService.exe        6100 Services                   0      4,452 K
AcerLightingService.exe       6112 Services                   0      7,736 K
AAADSvc.exe                   6120 Services                   0      2,976 K
ARTAimmxService.exe           6128 Services                   0      3,488 K
AcerPixyService.exe           6136 Services                   0      7,224 K
AcerServiceWrapper.exe        5212 Services                   0      7,532 K
DtsApo4Service.exe            5200 Services                   0     34,696 K
AcerQAAgent.exe               5284 Services                   0     29,300 K
ADESv2Svc.exe                 5304 Services                   0      3,668 K
